label_fraction,seed,n_labeled,linear_accuracy,linear_f1_macro,linear_auroc,linear_auprc,linear_sensitivity,linear_specificity,linear_ece,linear_brier_score,mahal_accuracy,mahal_f1_macro,mahal_auroc,mahal_auprc,mahal_sensitivity,mahal_specificity,mahal_ece,mahal_brier_score
0.01,0,1329,0.787668090212826,0.7845750148214268,0.8661488612009183,0.908712329550331,0.723452548923379,0.8633643617021277,0.08568911217948377,0.3110014429413037,0.8004094165813715,0.7989303972725673,0.8805059756401187,0.9103820623661016,0.7752285135881234,0.8375166223404256,0.2471977537106047,0.4289851153017271
0.01,1,1329,0.7954681819786115,0.7922950064376444,0.8740283104531507,0.9141119632685379,0.7467026562787559,0.855967420212766,0.065616119134001,0.2948954999684516,0.8125860304238873,0.8109156600776315,0.888537043458207,0.9215377790068358,0.7859027053554997,0.8491522606382979,0.2645059759518616,0.43346907331688445
0.01,2,1329,0.8012564853704162,0.799318904663469,0.8796722532523132,0.9212857805591774,0.7394024906447457,0.8812333776595744,0.06972860186282037,0.2878746781721571,0.8144566406663608,0.8133270543108909,0.8900856279457467,0.9196775118256758,0.7803815716827188,0.8631150265957447,0.262298146191676,0.428774761677259
0.05,0,6645,0.8159037165143119,0.8140683406329143,0.8975149300248517,0.9322618930865652,0.7814857984172751,0.8599567819148937,0.021614893986023363,0.2560265142488597,0.8177037376910317,0.8163774004211062,0.8997248901198138,0.930359503109423,0.7802588798233238,0.867935505319149,0.2757134599625592,0.43997022495624916
0.05,1,6645,0.8168919634348639,0.8151645985111566,0.8979731992114438,0.9319972881810266,0.7722225630329428,0.874501329787234,0.02446011528087268,0.2553221373920141,0.8193625807362439,0.8180821723750722,0.8991707730166338,0.9291354098086867,0.780504263542114,0.8712599734042553,0.2765384126813966,0.43892877718302553
0.05,2,6645,0.8172449087636325,0.815115057580888,0.8958109693293194,0.9312920177783405,0.7849825164100362,0.8585438829787234,0.03175575059506903,0.25918563616523416,0.8227155613595454,0.8212146460355132,0.8971812850536516,0.928927552476605,0.7967609349119686,0.8595412234042553,0.2772968266498264,0.43590332129551645
0.1,0,13290,0.8211273073800869,0.8192083673907009,0.9017803178192306,0.935103777843035,0.7959020918962026,0.8548038563829787,0.01942184657657784,0.2504265768984662,0.821586136307486,0.820165775517802,0.9014115870754895,0.9322867011453179,0.7935096006379977,0.8610372340425532,0.27942221244778337,0.43954076159682803
0.1,1,13290,0.8195743479335051,0.8177025374061324,0.9005934178591054,0.9338767948629886,0.7694006502668548,0.8798204787234043,0.018689218480487872,0.2511673360011752,0.8211626019129636,0.8198263578544093,0.9015980925698659,0.9314230826017471,0.7807496472609042,0.875498670212766,0.2790853729848381,0.43956885527423956
0.1,2,13290,0.8209861292485794,0.8190842474008682,0.9003834895587922,0.9337846577209461,0.7840009815348752,0.8666057180851063,0.018816461756692673,0.25203291590162463,0.8229626230896834,0.8216452845309734,0.8998357201685838,0.9301761240709614,0.7896448070670511,0.8684341755319149,0.27996312295254844,0.4387199166647079
0.25,0,33225,0.820350827656796,0.8185236166114642,0.9046323631023159,0.9368673453265784,0.7868228943009631,0.8665226063829787,0.014590616495708033,0.2463092647276243,0.8217626089718703,0.8204647177788602,0.9024881235055088,0.9326130841939754,0.8045518679835593,0.852061170212766,0.2801641989076275,0.44011299320618724
0.25,1,33225,0.8232802738855751,0.8214040716269283,0.9047156583527703,0.9369031420420437,0.7712410281577817,0.8848071808510638,0.011538195903676749,0.24568629580707493,0.8219037871033776,0.8206134227356598,0.9029620427362504,0.9331167193359733,0.7673762345868351,0.8924534574468085,0.2803840894669988,0.4401756658624552
0.25,2,33225,0.8222920269650231,0.8203895406582429,0.9038383636315878,0.9362679428216103,0.7678670020244157,0.8877160904255319,0.014874275012549565,0.2468467020928833,0.8227508558924223,0.8213454103197649,0.9012142216384387,0.9316164329018286,0.7909944175203976,0.8661901595744681,0.2802288797456929,0.4389975745973656
0.5,0,66450,0.8238802809444817,0.8220479941035724,0.9061147503759068,0.9376663318570124,0.8055947487884179,0.8495678191489362,0.011887348348492826,0.2441953961549374,0.8221155543006389,0.8208267242544045,0.9032213786771665,0.9330613618024561,0.8151033678915404,0.84375,0.2805110752729955,0.43996509914106147
0.5,1,66450,0.8237038082800974,0.8218138184244639,0.9063896496853736,0.9378563810853473,0.7649837433286302,0.8937001329787234,0.011010241569091932,0.24355311040140643,0.8233508629513289,0.822020046581641,0.9036314587801036,0.9334278962600715,0.7713637200171769,0.8886303191489362,0.28207702864174045,0.4403273271893772
0.5,2,66450,0.8222920269650231,0.8204704024103047,0.9057559235939708,0.9375053376960225,0.7730814060487087,0.8804853723404256,0.014892600036710713,0.24499444174293974,0.8214449581759785,0.8200864733537585,0.9027300478481936,0.9330216457086504,0.809091466781179,0.8483211436170213,0.2795440500215632,0.43967228420745824
1.0,0,132900,0.8231390957540677,0.821221976060803,0.9065513251699739,0.9379885195872424,0.7757806269554015,0.8807347074468085,0.011530147588002079,0.24363239774191703,0.8222567324321463,0.8208899948722201,0.9033458805270072,0.9332525271021928,0.8082326237654132,0.8504820478723404,0.2805219625524145,0.439787863449516
1.0,1,132900,0.8231390957540677,0.821221976060803,0.9065513251699739,0.9379885195872424,0.7757806269554015,0.8807347074468085,0.011530147588002079,0.24363239774191703,0.8222567324321463,0.8208899948722201,0.9033458805270072,0.9332525271021928,0.8082326237654132,0.8504820478723404,0.2805219625524145,0.439787863449516
1.0,2,132900,0.8231390957540677,0.821221976060803,0.9065513251699739,0.9379885195872424,0.7757806269554015,0.8807347074468085,0.011530147588002079,0.24363239774191703,0.8222567324321463,0.8208899948722201,0.9033458805270072,0.9332525271021928,0.8082326237654132,0.8504820478723404,0.2805219625524145,0.439787863449516
