model,mean_accuracy,std_accuracy,mean_f1_macro,std_f1_macro,mean_auroc,std_auroc,mean_auprc,std_auprc
PA-HybridSSL ResNet1D (Hybrid),0.65952865334626,0.0010425503464837407,0.4726266202818779,0.005075629092388911,0.8304712820312617,0.004099310428398533,0.5265402080132692,0.006654040115290548
PA-SSL ResNet1D (Contrastive/NT-Xent),0.6650400730893709,0.002989233131615425,0.479112183806318,0.0019134144010399714,0.8263738533650357,0.004972437002128047,0.5299284241442824,0.0050158856492395106
PA-SSL ResNet1D (MAE),0.6433049940604021,0.0027198524949017928,0.4507270224452136,0.003381872513255086,0.8152658729865472,0.00457010016324807,0.4960647655164707,0.004506361769111662
PA-HybridSSL WavKAN (Hybrid),0.6598190086887875,0.00035696470528962963,0.4720096680284332,0.0021765975766209447,0.8259169586865106,0.0036301677588631864,0.5216865506685023,0.006521829428908767
PA-SSL WavKAN (Contrastive/NT-Xent),0.6573646021538382,0.0042405860577567935,0.4717928111855872,0.006659674010282515,0.8154038486363042,0.004649663979836369,0.5139940407963175,0.005620402011900766
PA-SSL WavKAN (MAE),0.6352441184894756,0.0031129000343997413,0.44147517404240766,0.002310835529748672,0.807369344990052,0.002486140364055654,0.4856948600513677,0.004223190179980045
SimCLR + Naive Aug (ResNet1D),0.5082222469882574,0.0013731690308966598,0.2955406599003141,0.0013447522587585238,0.6853979935765723,0.0036389361417451245,0.3400591202130286,0.0048995564947698295
