configuration,accuracy,f1_macro,auroc,auprc,sensitivity,specificity,ece,brier_score
Supervised (Random Init),0.778311345646438,0.771634747616853,0.850798202443884,0.8957073454747129,0.7368365124063546,0.8240917282628568,0.06393798956939509,0.3177286621968723
SimCLR + Naive Aug,0.7786385224274406,0.7721810633119837,0.8522044303898407,0.898095986104033,0.7325505198094328,0.8278789145140648,0.06642131900405909,0.3173107267496814
SimCLR + Physio (no temporal),0.7796833773087071,0.7733250299479362,0.8539886088506121,0.8987486333529192,0.7478348653100261,0.8145845848460312,0.044410066706654254,0.31005197527082257
Full PA-SSL,0.7781213720316623,0.7710155847535916,0.8511969925476153,0.8958893667490097,0.7455501833058817,0.8136704364405672,0.06351158483132634,0.3171504218338562
