label_fraction,seed,n_labeled,linear_accuracy,linear_f1_macro,linear_auroc,linear_auprc,linear_sensitivity,linear_specificity,linear_ece,linear_brier_score,mahal_accuracy,mahal_f1_macro,mahal_auroc,mahal_auprc,mahal_sensitivity,mahal_specificity,mahal_ece,mahal_brier_score
0.01,0,728,0.9557573791761271,0.9531976679479064,0.9868854454210684,0.9777456387228379,0.9567723342939481,0.9546027742749055,0.009109441174788842,0.07065282366525767,0.957314304249108,0.9549815430482484,0.9886265909091394,0.9805684365344327,0.9574504153246313,0.9561790668348046,0.25480708731226764,0.20347322449820318
0.01,1,728,0.9589361012001297,0.9566198152695919,0.988172773279446,0.9788981182234231,0.9628750635700967,0.9546027742749055,0.009272123917879476,0.06565142102207326,0.958806357444048,0.9566022124528841,0.9894572063246804,0.981587187283941,0.9582980166129853,0.9593316519546028,0.21155419410986845,0.16168224835048117
0.01,2,728,0.9539409665909828,0.9513567686627625,0.987624308620643,0.976726126388295,0.9671130700118664,0.9452501050861707,0.01056564405443955,0.07269194608997533,0.9551735322737593,0.9528327893596751,0.9891179787598741,0.9815478725552484,0.9557552127479234,0.9563892391761244,0.22656852698035318,0.17861370162603096
0.05,0,3642,0.9645150827116445,0.9624728864874161,0.991807696618737,0.9845417405662205,0.9628750635700967,0.9665825977301387,0.005542456869253159,0.05505441513107012,0.9645799545896854,0.9626302671911986,0.9915189278737978,0.9845034065280661,0.9735548398033566,0.9563892391761244,0.27268452161499884,0.21064206284241502
0.05,1,3642,0.9678884203697697,0.9660706537457573,0.9927775748142635,0.9868055560805693,0.9637226648584506,0.9707860445565364,0.007839513732549767,0.05240728437976475,0.963801492053195,0.9618089543822139,0.9924637325339446,0.9867702442254253,0.960162739447364,0.9674232870954182,0.27542554586011975,0.21473100042653764
0.05,2,3642,0.9652286733700941,0.9632731436127281,0.99329372445127,0.9885394261425853,0.9728767587726733,0.9595418242959226,0.0047734679259166905,0.05586131554868783,0.9650989296140123,0.9632076082751572,0.9916775903554019,0.9859085389675599,0.9676216307848788,0.9634300126103404,0.2841522661553184,0.2229406152518719
0.1,0,7284,0.9673045734674018,0.9653995900303276,0.9929340372378788,0.9873081203964659,0.9713510764536362,0.9618537200504413,0.0049317770313399255,0.052234594097189495,0.9645150827116445,0.9625863169252555,0.9924422307526279,0.9867957551863603,0.9747414816070521,0.9569146700294241,0.28200384330391937,0.22022704304655263
0.1,1,7284,0.968731754784301,0.9669480686949279,0.9932452875470447,0.9883336372226336,0.9762671639260891,0.9613282891971416,0.007904539530892797,0.051303899125394736,0.9658125202724619,0.9639023627610219,0.9930495625500891,0.9880877891811114,0.9616884217664011,0.9685792349726776,0.2871563860438115,0.224567770072835
0.1,2,7284,0.9678884203697697,0.9660814013207273,0.9933818870989385,0.9884571745038512,0.968299711815562,0.9682639764606977,0.005401035767686786,0.05241072273364314,0.9678235484917288,0.9660735588912334,0.9922643556188697,0.9860934811411107,0.9703339549076114,0.9663724253888188,0.28881214487479473,0.2243117884723912
0.25,0,18210,0.9678884203697697,0.9660533806260367,0.992919554265045,0.9871264253313676,0.963383624343109,0.9702606137032367,0.00706662919154231,0.052518433432480215,0.9644502108336036,0.9625097597594665,0.992312623287865,0.9867175674151348,0.9694863536192575,0.9611181168558218,0.2816870509113941,0.22009800421954298
