knn_5_acc,knn_5_f1,knn_10_acc,knn_10_f1,knn_20_acc,knn_20_f1,model,seed
0.788,0.7864351333386201,0.8061333333333334,0.8056756052443103,0.8124,0.8119398259481481,PA-HybridSSL (ResNet1D),42
0.7853333333333333,0.7835960074565558,0.8046666666666666,0.8041559436661412,0.81,0.8094980060791304,PA-HybridSSL (ResNet1D),7
0.7808,0.7795533654638326,0.7941333333333334,0.7938250789179911,0.8004,0.7999913743775082,PA-HybridSSL (ResNet1D),123
0.7604,0.7599152678587635,0.7585333333333333,0.7585314402198247,0.7725333333333333,0.7725005734159052,SimCLR + Naive Aug,42
0.7482666666666666,0.7477421317457336,0.7585333333333333,0.758523026022853,0.7664,0.7663983388326316,SimCLR + Naive Aug,7
0.7406666666666667,0.740453377019604,0.7432,0.7431406552169812,0.7485333333333334,0.7485230328367583,SimCLR + Naive Aug,123
