model,auroc_mean,auroc_std,f1_mean,f1_std,acc_mean,acc_std
PA-HybridSSL (ResNet1D),0.9341461015798668,0.0217354462065339,0.7762861085026684,0.041127385156851076,0.8818373539200409,0.020164823694561327
SimCLR + Naive Aug,0.878500015926894,0.025926177166846445,0.6993594529708753,0.043867715925831795,0.8411115329486099,0.0211979723980407
PA-HybridSSL (WavKAN),0.887239883392711,0.05825991655163222,0.7162307598606837,0.06736883137914144,0.8311271905236638,0.05817942833089717
