model,patient_id_acc_mean,patient_id_acc_std,qrs_duration_r2_mean,qrs_duration_r2_std,qrs_duration_mae_mean,qrs_duration_mae_std,qrs_amplitude_r2_mean,qrs_amplitude_r2_std,qrs_amplitude_mae_mean,qrs_amplitude_mae_std,qt_proxy_r2_mean,qt_proxy_r2_std,qt_proxy_mae_mean,qt_proxy_mae_std
"PA-HybridSSL (ResNet1D, Hybrid)",0.9866267876787679,0.01230507978498325,0.7486547231674194,0.0019968243795856714,5.596120993296306,0.04208839256554174,0.7457296848297119,0.002167851055991967,0.4162996510664622,0.0017953546820297854,0.33056479692459106,0.0020128836322598678,10.022359530131022,0.039815611819830926
SimCLR + Naive Aug,0.6037541254125413,0.06119416014396217,0.6945234537124634,0.01748401240398589,6.457530498504639,0.17790362350717703,0.725167433420817,0.006787031449774786,0.45569872856140137,0.009595032991379726,0.2717965841293335,0.009114083503999946,10.69532553354899,0.11917602256546461
