model,seed,Mahalanobis_auroc,Mahalanobis_dr@95,Euclidean_auroc,Euclidean_dr@95,kNN (k=5)_auroc,kNN (k=5)_dr@95
PA-HybridSSL (ResNet1D),57.333333333333336,0.8483470733333333,0.5816666666666667,0.80522814,0.4889333333333334,0.8516713733333333,0.5732
SimCLR + Naive Aug,57.333333333333336,0.8805241866666665,0.49733333333333335,0.6746663733333333,0.12846666666666667,0.9176519666666666,0.6964666666666667
