block,experiment,label_fraction,seed,n_labeled,linear_accuracy,linear_f1_macro,linear_auroc,linear_auprc,linear_sensitivity,linear_specificity,linear_ece,linear_brier_score,mahal_accuracy,mahal_f1_macro,mahal_auroc,mahal_auprc,mahal_sensitivity,mahal_specificity,mahal_ece,mahal_brier_score
ablation,resnet1d_contrastive_s456,0.01,0,1329,0.7997388204567113,0.7965172959050837,0.8814629507294293,0.9202045773305504,0.7687258450401816,0.8500664893617021,0.0570584751407978,0.2829035772573569,0.8121272014964882,0.8099710809126683,0.889286764444356,0.9224978320728004,0.7727746764002208,0.8597074468085106,0.2556630185715898,0.4218782760627451
ablation,resnet1d_contrastive_s456,0.01,1,1329,0.7995976423252038,0.7967131343038036,0.8830930128291307,0.9231383844045198,0.749647260904239,0.8662732712765957,0.0524942222448674,0.280564606218558,0.8107507147142907,0.8087400896221324,0.8910290688952315,0.9241264625517948,0.7628366357892153,0.8705119680851063,0.2574621802497836,0.4250717521940312
ablation,resnet1d_contrastive_s456,0.01,2,1329,0.8149860586595137,0.8130774394329294,0.8868368990383046,0.9239164808888004,0.776271394392982,0.8617852393617021,0.0515126152491773,0.2721783382449098,0.8204920057883034,0.8190526184985942,0.8911378773631234,0.9224274761482012,0.8005643825532176,0.8527260638297872,0.2629669394227998,0.4203150645457619
ablation,resnet1d_contrastive_s456,0.05,0,6645,0.8159743055800657,0.8137952587210262,0.8984836726013415,0.9331654214569798,0.7485430341696828,0.9034242021276596,0.0171087238797769,0.2524864573899549,0.8219037871033776,0.8203428109100679,0.9024162643355322,0.9317201635290596,0.7726519845408257,0.882313829787234,0.2776729795228548,0.4352728014815922
ablation,resnet1d_contrastive_s456,0.05,1,6645,0.8181625666184308,0.8163262177360195,0.8992509657905076,0.9329983789867344,0.7619164468437519,0.887217420212766,0.0197727747447639,0.2529192569077829,0.8187625736773374,0.8173701027319411,0.902559931689839,0.9310463884909868,0.7535120544751855,0.9005152925531915,0.2743308575677919,0.4350609419643215
ablation,resnet1d_contrastive_s456,0.05,2,6645,0.8230332121554371,0.8209488029472243,0.8985081304158993,0.9332892718836088,0.7909330715906999,0.8643617021276596,0.023201242237531,0.2536613751353224,0.8258920693184626,0.824074340722358,0.9022136269826482,0.9324641966348852,0.7643702840316545,0.898188164893617,0.2792000870312351,0.432391236082969
ablation,resnet1d_contrastive_s456,0.1,0,13290,0.8199625877951505,0.8177554901239692,0.9034949345148516,0.9360166931274362,0.7733267897674989,0.8826462765957447,0.0145615845496802,0.2469516295874694,0.8220096707020083,0.8202567474849062,0.9048692984995048,0.9337931851303912,0.7632660572970983,0.8939494680851063,0.2775599158433992,0.4347106210736904
ablation,resnet1d_contrastive_s456,0.1,1,13290,0.8187978682102143,0.8169232908835713,0.9005074815521694,0.9339760832865462,0.7787252315808846,0.8695977393617021,0.0151592007076551,0.2509575121774383,0.8215508417746091,0.8200153132853429,0.903913926908772,0.9328970641965132,0.7606895282498006,0.8984375,0.2778270917285348,0.4357898009576206
ablation,resnet1d_contrastive_s456,0.1,2,13290,0.8235273356157131,0.8215599881953112,0.9018708122429508,0.9351452708789404,0.7909330715906999,0.866688829787234,0.0133899504400016,0.2489537716036973,0.8247273497335262,0.8230981828027213,0.9038351515358672,0.9324276291498584,0.7687258450401816,0.8926196808510638,0.2800998439771294,0.4348842294297003
ablation,resnet1d_contrastive_s456,0.25,0,33225,0.8197155260650125,0.8176395524933358,0.9037804031488084,0.936004703916948,0.756702042819459,0.8964428191489362,0.0146666885280112,0.2465603381639896,0.8232096848198214,0.8215110410496655,0.9049894997100754,0.93415408262228,0.7858413594258021,0.8730053191489362,0.279427953600397,0.4357234157197792
ablation,resnet1d_contrastive_s456,0.25,1,33225,0.8208802456499488,0.8188901690154544,0.9044896593767252,0.9362953265747278,0.7717317955953622,0.8798204787234043,0.0121000749102007,0.2461462141783394,0.8239508700102354,0.8223698789800018,0.9059945976017004,0.9345619282581692,0.7898901907858413,0.8699301861702128,0.2806376799188763,0.4362027758021257
